"All property types","All bedrooms","East Wall, Dublin 3",1253.55,1101.08,948.27,922.06,958.40,979.91,1053.56,1157.02,1251.00,1307.24,1491.78
"All property types","All bedrooms","Eastwall, Dublin 3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"All property types","All bedrooms","Fairview, Dublin 3",1024.20,947.90,871.65,878.73,891.33,918.69,976.48,1048.39,1118.56,1194.31,1296.48
"All property types","All bedrooms","Marino, Dublin 3",1423.75,1276.38,1109.58,1092.03,1127.41,1128.09,1185.00,1326.88,1402.81,1536.71,1666.80
"All property types","All bedrooms","North Strand, Dublin 3",1219.78,1030.01,916.21,879.54,856.37,955.59,1017.08,1062.77,1180.83,1325.34,1391.76
"All property types","All bedrooms","Dublin 4",1563.43,1403.83,1284.72,1272.56,1296.79,1363.30,1474.63,1601.97,1696.55,1821.55,1970.84
"All property types","All bedrooms","Ballsbridge, Dublin 4",1664.53,1503.01,1359.90,1358.93,1393.42,1438.70,1557.29,1696.09,1792.20,1989.15,2179.49
"All property types","All bedrooms","Donnybrook, Dublin 4",1618.75,1432.22,1319.55,1310.55,1300.80,1381.89,1541.62,1684.56,1796.78,1834.43,1910.18
"All property types","All bedrooms","Irishtown, Dublin 4",1448.67,1238.43,1130.18,1111.05,1173.36,1230.00,1307.06,1362.41,1519.06,1677.35,1878.83
"All property types","All bedrooms","Merrion, Dublin 4",1511.09,1344.81,1218.60,1201.20,1233.87,1330.96,1400.43,1512.98,1583.50,1612.75,1679.18
"All property types","All bedrooms","Pembroke, Dublin 4",1285.98,1185.03,1122.31,1142.56,1199.89,1255.01,1350.37,1506.99,1609.29,1657.34,1898.14
"All property types","All bedrooms","Ringsend, Dublin 4",1392.35,1261.25,1144.16,1146.79,1162.30,1205.27,1299.65,1410.36,1512.14,1626.50,1755.03
"All property types","All bedrooms","Sandymount, Dublin 4",1701.29,1515.68,1432.90,1390.62,1383.31,1466.77,1571.75,1669.65,1766.08,1863.00,2017.48
"All property types","All bedrooms","Dublin 5",1309.04,1191.75,1051.85,1013.37,1012.27,1036.62,1104.54,1185.72,1275.35,1373.08,1483.31
"All property types","All bedrooms","Artane, Dublin 5",1311.39,1204.70,1056.76,1004.59,993.47,1017.84,1098.31,1142.72,1204.65,1337.31,1449.43
"All property types","All bedrooms","Killester, Dublin 5",1355.67,1179.93,1044.34,1026.83,1015.82,1046.68,1161.63,1254.99,1280.75,1384.58,1577.81
"All property types","All bedrooms","Raheny, Dublin 5",1354.88,1214.99,1081.96,1037.59,1043.22,1083.45,1129.50,1222.49,1354.18,1434.58,1527.89
"All property types","All bedrooms","Dublin 6",1143.47,1074.02,994.46,956.21,970.97,1013.20,1096.41,1197.61,1284.47,1370.01,1470.90
"All property types","All bedrooms","Dartry, Dublin 6",1619.58,1436.58,1319.40,1269.18,1321.99,1408.41,1444.77,1471.48,1543.83,1759.49,1861.51
"All property types","All bedrooms","Harolds Cross, Dublin 6",1264.25,1116.51,1018.11,978.92,994.04,1042.79,1191.11,1337.25,1365.86,1394.93,1497.42
"All property types","All bedrooms","Milltown, Dublin 6",1569.72,1416.75,1245.35,1242.97,1333.48,1393.77,1463.08,1592.65,1753.97,1853.74,1942.60
"All property types","All bedrooms","Ranelagh, Dublin 6",1213.31,1165.70,1075.49,1004.96,1033.59,1086.15,1193.46,1318.38,1395.09,1522.52,1640.92
"All property types","All bedrooms","Rathgar, Dublin 6",1095.77,1041.86,960.64,905.62,886.39,930.91,1008.61,1121.86,1216.01,1321.86,1463.84
"All property types","All bedrooms","Rathmines, Dublin 6",1021.48,944.64,875.08,858.53,848.28,872.70,936.67,1009.37,1095.11,1163.27,1239.97
"All property types","All bedrooms","Terenure, Dublin 6",1201.81,1165.58,1082.56,1025.77,1011.29,1123.03,1232.22,1264.96,1362.89,1463.81,1491.43
"All property types","All bedrooms","Dublin 6W",1306.68,1210.99,1122.29,1089.99,1079.34,1133.87,1226.81,1320.60,1409.89,1516.81,1632.51
"All property types","All bedrooms","Harolds Cross, Dublin 6W",1259.90,1144.49,1056.98,1034.05,1013.78,1070.89,1179.88,1232.74,1278.45,1415.20,1475.16
"All property types","All bedrooms","Templeogue, Dublin 6W",1406.01,1254.97,1184.72,1215.41,1243.56,1275.08,1301.18,1391.65,1571.86,1718.46,1775.12
"All property types","All bedrooms","Terenure, Dublin 6W",1470.70,1339.04,1253.97,1191.40,1202.73,1269.43,1356.76,1451.81,1571.63,1689.45,1805.63
"All property types","All bedrooms","Dublin 7",1071.30,995.65,910.84,859.71,842.27,874.37,958.08,1054.13,1133.35,1199.56,1283.03
"All property types","All bedrooms","Arbour Hill, Dublin 7",0.00,1175.18,1085.51,1047.73,1091.28,1127.60,1194.17,1209.25,1263.88,1470.15,1592.96
"All property types","All bedrooms","Cabra, Dublin 7",989.76,951.21,894.65,835.57,772.87,809.42,887.65,963.35,1054.23,1130.11,1220.64
"All property types","All bedrooms","Navan Road, Dublin 7",1259.83,1156.67,1042.43,982.64,1000.78,1054.36,1119.22,1209.68,1323.65,1429.89,1535.62
"All property types","All bedrooms","North Circular Road, Dublin 7",1056.79,1010.67,979.16,929.46,838.47,860.60,926.25,1036.68,1173.00,1233.59,1223.50
"All property types","All bedrooms","Phibsboro, Dublin 7",923.69,881.15,853.78,796.15,750.21,780.73,901.51,1014.93,1004.76,1067.67,1135.51
"All property types","All bedrooms","Smithfield, Dublin 7",1348.99,1214.62,1089.56,1009.94,990.14,1056.98,1189.81,1282.54,1364.63,1434.36,1551.36
