"All property types","All bedrooms","Blackrock, Dublin",1588.28,1423.32,1268.01,1248.75,1292.11,1353.71,1470.61,1585.07,1719.48,1814.16,1916.26,2023.24
"All property types","All bedrooms","Booterstown, Dublin",1659.92,1540.51,1406.40,1332.29,1344.69,1428.20,1511.23,1637.32,1744.40,1851.61,1966.94,2072.38
"All property types","All bedrooms","Cabinteely, Dublin",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"All property types","All bedrooms","Citywest, Dublin",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"All property types","All bedrooms","Dalkey, Dublin",1666.35,1580.46,1490.20,1463.42,1498.43,1616.79,1749.42,1919.93,2011.01,2065.36,2293.77,2446.78
"All property types","All bedrooms","Donabate, Dublin",1147.22,995.58,860.85,858.72,863.08,894.68,947.79,1015.96,1123.08,1207.91,1242.15,1397.63
"All property types","All bedrooms","Dun Laoghaire, Dublin",1318.29,1222.98,1107.17,1054.46,1073.65,1152.30,1224.55,1330.59,1433.91,1557.23,1769.25,1901.76
"All property types","All bedrooms","Glenageary, Dublin",1733.01,1559.08,1364.42,1294.56,1449.49,1463.09,1554.25,1749.89,1831.15,1904.96,2013.97,2170.09
"All property types","All bedrooms","Howth, Dublin",1730.53,1418.85,1257.45,1245.03,1302.10,1313.07,1335.38,1444.73,1559.33,1717.07,1745.02,1828.63
"All property types","All bedrooms","Killiney, Dublin",1729.22,1531.15,1402.71,1434.73,1456.86,1469.27,1534.11,1666.08,1773.01,1917.04,2092.15,2144.56
"All property types","All bedrooms","Kinsealy, Dublin",1216.12,1103.92,1005.62,982.17,997.00,1037.60,1071.55,1142.62,1215.06,1318.92,1414.27,1563.87
"All property types","All bedrooms","Lucan, Dublin",1223.07,1116.33,1004.15,978.89,991.08,1008.64,1049.51,1133.04,1223.16,1317.00,1475.65,1554.62
"All property types","All bedrooms","Lusk, Dublin",1151.92,1051.73,941.72,911.73,897.64,901.31,982.78,1058.42,1125.16,1190.81,1276.91,1370.00
"All property types","All bedrooms","Malahide, Dublin",1553.18,1378.72,1239.87,1222.21,1264.12,1319.77,1370.88,1473.07,1572.97,1710.78,1853.20,1956.20
"All property types","All bedrooms","Monkstown, Dublin",1311.95,1195.41,1065.99,1058.42,1085.15,1126.33,1177.38,1277.87,1421.49,1594.21,1666.20,1766.77
"All property types","All bedrooms","Mount Merrion, Dublin",1854.79,1772.40,1651.21,1634.23,1714.41,1822.25,1831.49,2005.19,2122.02,2255.10,2305.24,2682.73
"All property types","All bedrooms","Portmarnock, Dublin",1337.47,1250.80,1112.04,1097.59,1086.05,1129.89,1207.70,1271.43,1379.90,1468.57,1541.27,1694.26
"All property types","All bedrooms","Rathcoole, Dublin",1071.49,952.17,871.79,896.35,874.11,909.46,994.33,1045.45,1166.44,1269.56,1341.23,1484.58
"All property types","All bedrooms","Rush, Dublin",1081.60,1004.37,918.94,868.07,871.25,879.81,928.02,1006.96,1046.96,1098.87,1224.90,1342.43
"All property types","All bedrooms","Saggart, Dublin",1273.57,1148.49,1000.63,946.80,935.29,979.57,1036.31,1116.17,1225.99,1292.14,1383.04,1515.85
"All property types","All bedrooms","Sandycove, Dublin",1574.68,1457.82,1308.41,1226.67,1483.05,1543.23,1545.11,1615.41,1956.44,2034.15,2155.04,2186.43
"All property types","All bedrooms","Shankill, Dublin",1385.42,1241.39,1120.45,1106.89,1093.04,1116.23,1174.65,1244.26,1338.96,1447.08,1547.80,1569.75
"All property types","All bedrooms","Skerries, Dublin",1105.20,1035.60,926.18,887.25,895.78,922.14,975.98,1070.66,1147.61,1203.51,1321.29,1387.46
"All property types","All bedrooms","Stepaside, Dublin",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"All property types","All bedrooms","Stillorgan, Dublin",1570.80,1419.57,1280.66,1253.77,1279.30,1318.61,1438.05,1520.56,1617.87,1729.90,1812.82,1882.34
"All property types","All bedrooms","Swords, Dublin",1200.13,1090.91,965.94,932.14,941.50,962.99,1020.41,1110.87,1203.50,1289.01,1364.88,1443.72
"All property types","All bedrooms","Dublin 1",1188.44,1097.60,975.72,984.43,984.42,987.54,1070.67,1156.32,1231.32,1311.39,1490.47,1522.21
"All property types","All bedrooms","I.F.S.C., Dublin 1",1426.58,1253.07,1136.39,1534.37,1905.94,1932.73,1980.33,2141.97,2032.21,2081.76,2259.05,1793.99
"All property types","All bedrooms","Parnell Street, Dublin 1",1351.51,1238.11,1068.13,1030.66,1043.54,1058.15,1130.64,1283.05,1384.12,1423.80,1586.52,1691.54
"All property types","All bedrooms","Spencer Dock, Dublin 1",1576.73,1460.98,1289.58,1292.74,1360.92,1456.93,1569.26,1638.42,1781.17,1877.42,2009.09,2107.67
"All property types","All bedrooms","Summerhill, Dublin 1",1154.42,1149.25,1012.55,931.79,971.04,974.85,951.32,1019.93,1076.62,1137.20,1418.47,1639.03
"All property types","All bedrooms","Dublin 2",1410.77,1299.59,1171.38,1133.41,1177.38,1234.14,1309.23,1444.86,1578.57,1695.80,1824.70,2030.38
"All property types","All bedrooms","Aungier Street, Dublin 2",1149.86,1012.90,927.13,937.34,964.52,1017.86,1107.22,1223.03,1390.42,1425.86,1598.54,1857.27
"All property types","All bedrooms","Charlemont Street, Dublin 2",1505.04,1366.88,1242.92,1221.15,1260.56,1332.50,1392.77,1474.00,1587.02,1682.84,1822.52,1945.32
"All property types","All bedrooms","Grand Canal Dock, Dublin 2",1716.17,1573.86,1436.04,1456.54,1507.89,1621.03,1772.16,1941.28,2142.42,2267.53,2344.35,2389.05
"All property types","All bedrooms","Grand Canal Square, Dublin 2",0.00,1601.47,1511.70,1521.03,1795.00,1916.81,2033.28,2217.68,2490.48,2821.20,2902.89,3005.21
"All property types","All bedrooms","Hanover Quay, Dublin 2",1898.71,1746.82,1637.72,1575.00,1534.79,1656.41,1778.44,1854.94,2030.38,1983.73,2241.67,2507.70
"All property types","All bedrooms","Lower Mount Street, Dublin 2",1257.94,1154.06,1041.29,1013.44,1076.15,1151.60,1341.63,1452.08,1494.92,1612.04,1750.59,0.00
"All property types","All bedrooms","Pearse Street, Dublin 2",1309.51,1172.37,1061.61,1019.80,1063.55,1130.88,1244.09,1325.67,1463.52,1554.67,1647.03,1787.16
"All property types","All bedrooms","Tara Street, Dublin 2",1282.37,1154.60,1024.13,946.18,949.25,1002.03,1124.96,1266.56,1418.00,1495.18,1490.79,0.00
"All property types","All bedrooms","Temple Bar, Dublin 2",1464.12,1261.65,1144.64,1122.01,1120.31,1137.40,1220.32,1358.86,1446.03,1571.02,1619.06,1731.49
"All property types","All bedrooms","Townsend Street, Dublin 2",1373.65,1244.64,1092.91,1072.30,1117.39,1163.30,1271.30,1393.01,1517.54,1651.50,1746.42,1814.77
"All property types","All bedrooms","Dublin 3",1223.29,1097.71,974.01,935.07,945.88,988.59,1067.33,1160.25,1256.07,1352.41,1465.48,1565.84
"All property types","All bedrooms","Clonliffe, Dublin 3",1087.46,982.29,892.65,797.99,805.22,893.35,909.75,933.74,1036.39,1149.06,1330.02,1400.31
"All property types","All bedrooms","Clontarf, Dublin 3",1289.39,1155.96,1025.86,990.51,1017.72,1058.53,1143.93,1261.05,1357.19,1459.12,1560.11,1641.75
"All property types","All bedrooms","Drumcondra, Dublin 3",1171.50,1061.53,859.28,897.08,877.76,936.25,1027.58,1104.85,1215.68,1344.90,1463.08,1500.35
"All property types","All bedrooms","East Wall, Dublin 3",1253.55,1100.78,948.40,922.06,958.41,980.46,1053.95,1156.86,1250.65,1311.09,1493.41,1728.53
"All property types","All bedrooms","Eastwall, Dublin 3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"All property types","All bedrooms","Fairview, Dublin 3",1024.20,947.90,871.65,878.69,890.79,918.43,976.87,1048.18,1119.43,1195.98,1301.65,1371.94
"All property types","All bedrooms","Marino, Dublin 3",1423.75,1276.38,1109.58,1092.03,1123.38,1124.58,1185.00,1331.03,1411.12,1534.20,1662.22,1697.26
"All property types","All bedrooms","North Strand, Dublin 3",1219.78,1030.01,916.22,879.55,856.37,955.59,1017.08,1062.77,1179.92,1316.82,1393.64,1462.20
"All property types","All bedrooms","Dublin 4",1561.22,1402.64,1284.89,1273.93,1297.08,1362.87,1475.79,1603.19,1698.73,1825.69,1970.69,2101.90
"All property types","All bedrooms","Ballsbridge, Dublin 4",1664.94,1503.45,1360.61,1360.37,1394.47,1438.76,1556.61,1696.29,1791.80,1989.96,2181.04,2333.91
"All property types","All bedrooms","Donnybrook, Dublin 4",1601.00,1420.31,1312.32,1305.85,1301.44,1380.89,1539.73,1677.61,1790.58,1836.81,1913.63,2026.69
"All property types","All bedrooms","Irishtown, Dublin 4",1448.67,1238.43,1130.18,1111.05,1173.36,1230.00,1307.07,1370.12,1522.73,1679.85,1876.47,1967.23
"All property types","All bedrooms","Merrion, Dublin 4",1509.71,1354.61,1208.45,1201.29,1234.59,1330.96,1400.44,1512.98,1581.48,1610.15,1694.38,1785.08
"All property types","All bedrooms","Pembroke, Dublin 4",1302.09,1199.24,1125.32,1145.45,1199.89,1257.24,1350.37,1507.58,1609.92,1657.34,1837.92,1825.99
"All property types","All bedrooms","Ringsend, Dublin 4",1389.57,1259.60,1168.95,1174.22,1171.49,1205.73,1299.74,1412.61,1516.55,1629.66,1762.75,1876.21
"All property types","All bedrooms","Sandymount, Dublin 4",1701.29,1515.69,1434.25,1390.60,1381.21,1466.77,1571.45,1669.73,1766.61,1864.50,2024.00,2198.42
"All property types","All bedrooms","Dublin 5",1310.10,1193.23,1054.15,1014.15,1012.02,1036.51,1104.55,1184.86,1274.54,1374.68,1483.88,1594.13
"All property types","All bedrooms","Artane, Dublin 5",1311.39,1204.70,1059.43,1005.06,994.05,1018.74,1098.71,1142.21,1204.85,1341.13,1456.36,1549.01
"All property types","All bedrooms","Killester, Dublin 5",1355.67,1179.93,1044.34,1026.83,1015.82,1046.68,1161.63,1257.75,1282.20,1384.58,1570.82,1644.22
"All property types","All bedrooms","Raheny, Dublin 5",1357.68,1218.86,1085.73,1039.03,1042.74,1083.45,1129.50,1217.23,1346.76,1435.51,1528.72,1634.97
"All property types","All bedrooms","Dublin 6",1143.18,1073.17,993.92,956.29,970.55,1011.93,1094.92,1197.73,1285.26,1369.19,1472.39,1577.44
"All property types","All bedrooms","Dartry, Dublin 6",1619.58,1436.58,1319.40,1272.08,1324.58,1408.41,1444.77,1471.48,1552.88,1766.12,1862.84,2088.01
"All property types","All bedrooms","Harolds Cross, Dublin 6",1264.25,1116.51,1018.11,978.50,994.08,1043.73,1191.11,1334.88,1362.16,1402.17,1498.09,1553.98
"All property types","All bedrooms","Milltown, Dublin 6",1571.21,1417.68,1246.15,1242.97,1333.48,1393.77,1461.98,1592.87,1754.15,1854.20,1946.33,1993.86
